N,n,m,variance,mean,AIC,BIC,AIC value,BIC value
100,2,3,0.1,0,1,1,-211.54313416035987,-212.8457192533539
100,3,3,0.1,0,1,1,-321.69542543057867,-322.9980105235727
100,4,3,0.1,0,2,2,-320.2240353812511,-322.82920556723917
100,5,3,0.1,0,3,3,-469.3399881698135,-473.2477434487957
100,6,3,0.1,0,3,3,-564.7349520941675,-568.6427073731496
100,7,3,0.1,0,4,3,-517.1051977602139,-522.2050506605406
100,8,3,0.1,0,5,3,-608.1792903409778,-613.265940235995
100,9,3,0.1,0,5,5,-569.2872878232286,-575.8002132881987
100,10,3,0.1,0,5,5,-626.2003586527884,-632.7132841177586
100,12,3,0.1,0,5,5,-693.4892942496394,-700.0022197146096
100,15,3,0.1,0,5,5,-869.4660720103481,-875.9789974753182
