Ladder	SD of Ladder	Positive affect	Negative affect	Social support	Freedom	Corruption	Generosity	Log of GDP per capita	Healthy life expectancy
1	4	41	10	2	5	4	47	22	27
2	13	24	26	4	6	3	22	14	23
3	8	16	29	3	3	8	11	7	12
4	9	3	3	1	7	45	3	15	13
5	1	12	25	15	19	12	7	12	18
6	11	44	21	13	11	7	16	8	4
7	18	34	8	25	10	6	17	13	17
8	15	22	12	5	8	5	8	26	14
9	23	18	49	20	9	11	14	19	8
10	10	64	24	31	26	19	25	16	15
11	26	47	37	7	17	13	6	18	10
12	62	4	87	42	16	58	75	67	28
13	14	104	69	38	93	74	24	31	11
14	3	62	19	27	28	9	30	2	16
15	16	52	42	9	63	15	4	23	24
16	34	33	32	6	33	10	9	6	20
17	17	65	30	39	44	17	19	17	25
18	7	57	53	22	53	20	44	21	26
19	49	35	70	37	62	42	12	10	39
20	20	74	22	24	58	121	117	32	31
22	42	83	103	16	12	32	5	28	19
23	76	6	40	67	71	87	120	57	46
24	19	56	66	32	69	21	68	25	5
26	61	15	78	58	98	99	45	49	30
27	136	8	85	78	25	82	78	99	85
30	21	107	107	26	95	78	50	30	3
31	121	7	48	41	32	104	88	51	33
32	116	69	105	43	84	71	108	70	72
33	88	10	76	35	30	33	80	52	35
34	5	38	2	36	20	1	21	3	1
35	112	23	84	83	74	85	134	100	75
36	31	99	123	23	132	128	48	29	7
38	39	53	47	21	108	142	70	35	38
39	89	14	52	29	51	141	41	38	93
40	28	76	33	44	52	108	77	41	36
41	99	19	15	11	1	18	29	104	83
42	55	138	41	17	122	113	124	36	62
43	120	30	88	52	56	124	111	74	51
44	54	114	71	14	13	97	54	34	29
45	133	31	125	66	70	43	71	108	53
47	97	28	93	46	54	109	123	55	37
48	75	80	62	86	57	146	102	48	61
49	95	60	99	90	81	115	39	33	6
50	113	11	113	71	42	68	95	86	45
52	81	20	35	53	18	131	10	62	58
53	30	119	38	34	126	92	105	43	68
54	57	101	45	91	144	100	40	27	9
55	32	50	6	12	45	30	83	37	41
56	102	51	51	28	49	130	119	93	55
57	94	55	16	54	40	96	37	53	73
58	43	73	14	50	64	39	92	24	2
59	151	13	73	84	39	79	51	113	57
60	40	81	5	19	80	57	57	47	88
61	71	70	138	93	35	91	104	101	94
62	36	86	31	51	138	140	100	42	56
63	90	1	39	30	34	76	67	90	81
65	114	36	127	77	61	132	126	76	47
66	73	97	100	47	37	135	122	39	22
